Produto	Agricultura, inclusive o apoio à agricultura e a pós-colheita	Pecuária, inclusive o apoio à pecuária	Produção florestal; pesca e aquicultura	Extração de carvão mineral e de minerais não-metálicos	Extração de petróleo e gás, inclusive as atividades de apoio	Extração de minério de ferro, inclusive beneficiamentos e a aglomeração	Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos	Abate e produtos de carne, inclusive os produtos do laticínio e da pesca	Fabricação e refino de açúcar	Outros produtos alimentares	Fabricação de bebidas	Fabricação de produtos do fumo	Fabricação de produtos têxteis	Confecção de artefatos do vestuário e acessórios	Fabricação de calçados e de artefatos de couro	Fabricação de produtos da madeira	Fabricação de celulose, papel e produtos de papel	Impressão e reprodução de gravações	Refino de petróleo e coquerias	Fabricação de biocombustíveis	Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros	Fabricação de defensivos, desinfestantes, tintas e químicos diversos	Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal	Fabricação de produtos farmoquímicos e farmacêuticos	Fabricação de produtos de borracha e de material plástico	Fabricação de produtos de minerais não-metálicos	Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura	Metalurgia de metais não-ferosos e a fundição de metais	Fabricação de produtos de metal, exceto máquinas e equipamentos	Fabricação de equipamentos de informática, produtos eletrônicos e ópticos	Fabricação de máquinas e equipamentos elétricos	Fabricação de máquinas e equipamentos mecânicos	Fabricação de automóveis, caminhões e ônibus, exceto peças	Fabricação de peças e acessórios para veículos automotores	Fabricação de outros equipamentos de transporte, exceto veículos automotores	Fabricação de móveis e de produtos de indústrias diversas	Manutenção, reparação e instalação de máquinas e equipamentos	Energia elétrica, gás natural e outras utilidades	Água, esgoto e gestão de resíduos	Construção	Comércio por atacado e varejo	Transporte terrestre	Transporte aquaviário	Transporte aéreo	Armazenamento, atividades auxiliares dos transportes e correio	Alojamento	Alimentação	Edição e edição integrada à impressão	Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem	Telecomunicações	Desenvolvimento de sistemas e outros serviços de informação	Intermediação financeira, seguros e previdência complementar	Atividades imobiliárias	Atividades jurídicas, contábeis, consultoria e sedes de empresas 	Serviços de arquitetura, engenharia, testes/análises técnicas e P & D	Outras atividades profissionais, científicas e técnicas	Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual	Outras atividades administrativas e serviços complementares	Atividades de vigilância, segurança e investigação	Administração pública, defesa e seguridade social	Educação pública	Educação privada	Saúde pública	Saúde privada	Atividades artísticas, criativas e de espetáculos	Organizações associativas e outros serviços pessoais	Serviços domésticos
Fabricação de bebidas	 0,000213	 0,000308	 0,000142	 0,000381	 0,000422	 0,000294	 0,000541	 0,002938	 0,000314	 0,000628	 1,135232	 0,000361	 0,000359	 0,000286	 0,000537	 0,000312	 0,000433	 0,000436	 0,000485	 0,000387	 0,000440	 0,000669	 0,000643	 0,000771	 0,000436	 0,000387	 0,000499	 0,000553	 0,000567	 0,000388	 0,000561	 0,000872	 0,000689	 0,000487	 0,000528	 0,000367	 0,000792	 0,000377	 0,000297	 0,000409	 0,000405	 0,000362	 0,000368	 0,003989	 0,000397	 0,023243	 0,132754	 0,000405	 0,001399	 0,000594	 0,000317	 0,001233	 0,000072	 0,000905	 0,000327	 0,000947	 0,000311	 0,000840	 0,000181	 0,002233	 0,001501	 0,000733	 0,004170	 0,003342	 0,001277	 0,007884	 0,000000
Fabricação de produtos do fumo	 0,000012	 0,000016	 0,000006	 0,000012	 0,000007	 0,000009	 0,000015	 0,000030	 0,000012	 0,000031	 0,000019	 1,104247	 0,000026	 0,000023	 0,000030	 0,000025	 0,000070	 0,000046	 0,000006	 0,000014	 0,000016	 0,000023	 0,000042	 0,000026	 0,000029	 0,000029	 0,000019	 0,000026	 0,000022	 0,000027	 0,000027	 0,000025	 0,000026	 0,000027	 0,000022	 0,000026	 0,000019	 0,000006	 0,000009	 0,000015	 0,000009	 0,000013	 0,000009	 0,000007	 0,000007	 0,000012	 0,000017	 0,000030	 0,000009	 0,000009	 0,000006	 0,000004	 0,000001	 0,000007	 0,000028	 0,000014	 0,000013	 0,000008	 0,000003	 0,000004	 0,000006	 0,000010	 0,000010	 0,000017	 0,000007	 0,000008	 0,000000
Fabricação de produtos têxteis	 0,003659	 0,000996	 0,000512	 0,012920	 0,001382	 0,000479	 0,001152	 0,001354	 0,004904	 0,003095	 0,001614	 0,001815	 1,234164	 0,249568	 0,089937	 0,001024	 0,003135	 0,001516	 0,000890	 0,002227	 0,001346	 0,002150	 0,001943	 0,003455	 0,010289	 0,002420	 0,000933	 0,001015	 0,001701	 0,000847	 0,001909	 0,001301	 0,006238	 0,020376	 0,004354	 0,023274	 0,001105	 0,000900	 0,001621	 0,002186	 0,001105	 0,001806	 0,002091	 0,002662	 0,000940	 0,015076	 0,001888	 0,000802	 0,001911	 0,000759	 0,000389	 0,000846	 0,000117	 0,000417	 0,001408	 0,001268	 0,000839	 0,000749	 0,002096	 0,000837	 0,001647	 0,000563	 0,001292	 0,001790	 0,001643	 0,006372	 0,000000
Confecção de artefatos do vestuário e acessórios	 0,000372	 0,000368	 0,000820	 0,000997	 0,001165	 0,000380	 0,000640	 0,000668	 0,000604	 0,000733	 0,000767	 0,000588	 0,003191	 1,041924	 0,003467	 0,000531	 0,000705	 0,000474	 0,000604	 0,000540	 0,000569	 0,000778	 0,000656	 0,000571	 0,000621	 0,000922	 0,000800	 0,000701	 0,001316	 0,000503	 0,000679	 0,000782	 0,000805	 0,001106	 0,000616	 0,000941	 0,000596	 0,001226	 0,003297	 0,000556	 0,000868	 0,001344	 0,001465	 0,008297	 0,002060	 0,005950	 0,001503	 0,000513	 0,004912	 0,001288	 0,000404	 0,002507	 0,000183	 0,000414	 0,003405	 0,002571	 0,000426	 0,001389	 0,007461	 0,001847	 0,004338	 0,000623	 0,001039	 0,000847	 0,003951	 0,009370	 0,000000
Fabricação de calçados e de artefatos de couro	 0,000128	 0,000203	 0,000063	 0,000533	 0,000118	 0,000100	 0,000182	 0,000304	 0,000115	 0,000328	 0,000240	 0,000175	 0,000347	 0,000531	 1,176253	 0,000212	 0,000740	 0,000244	 0,000079	 0,000195	 0,000226	 0,000465	 0,000418	 0,000183	 0,000496	 0,000315	 0,000203	 0,000210	 0,000626	 0,000136	 0,000264	 0,000246	 0,000316	 0,000362	 0,000234	 0,000487	 0,000218	 0,000888	 0,000178	 0,000244	 0,000097	 0,000126	 0,000095	 0,000151	 0,000109	 0,000240	 0,000183	 0,000135	 0,001244	 0,000114	 0,000089	 0,000075	 0,000013	 0,000061	 0,000129	 0,000530	 0,000113	 0,000116	 0,001784	 0,000104	 0,000102	 0,000105	 0,000148	 0,000196	 0,000121	 0,000137	 0,000000
Fabricação de produtos da madeira	 0,002469	 0,002989	 0,000808	 0,001201	 0,000698	 0,000736	 0,001204	 0,002353	 0,001526	 0,003382	 0,003019	 0,001904	 0,002015	 0,002722	 0,001828	 1,144012	 0,009901	 0,001501	 0,000552	 0,001633	 0,001047	 0,001815	 0,001551	 0,000834	 0,001367	 0,001806	 0,001269	 0,001423	 0,003609	 0,000870	 0,001295	 0,005473	 0,003452	 0,002737	 0,007312	 0,102434	 0,001574	 0,003391	 0,001792	 0,010901	 0,002905	 0,000659	 0,001235	 0,000548	 0,001629	 0,001138	 0,001145	 0,001064	 0,006984	 0,001082	 0,000507	 0,000458	 0,000831	 0,000573	 0,000917	 0,003235	 0,001462	 0,001268	 0,000266	 0,000715	 0,000788	 0,000721	 0,001793	 0,003938	 0,001274	 0,001902	 0,000000
Fabricação de celulose, papel e produtos de papel	 0,004469	 0,006010	 0,002340	 0,004618	 0,002782	 0,003218	 0,005419	 0,023040	 0,004616	 0,023700	 0,011719	 0,075334	 0,024299	 0,017530	 0,030558	 0,026525	 1,186567	 0,080790	 0,002946	 0,006749	 0,004677	 0,008953	 0,056254	 0,022600	 0,027407	 0,030764	 0,004638	 0,004607	 0,016894	 0,025748	 0,012555	 0,006866	 0,010176	 0,015958	 0,006888	 0,020564	 0,004850	 0,002838	 0,004853	 0,006834	 0,009099	 0,003864	 0,008850	 0,004313	 0,005737	 0,014209	 0,010749	 0,045843	 0,007365	 0,004519	 0,005324	 0,005825	 0,001055	 0,009691	 0,008451	 0,014221	 0,011113	 0,011669	 0,002673	 0,003761	 0,005856	 0,007605	 0,004553	 0,008784	 0,005808	 0,007933	 0,000000
Impressão e reprodução de gravações	 0,001127	 0,001548	 0,000842	 0,001866	 0,001337	 0,001239	 0,002123	 0,003194	 0,002046	 0,003593	 0,009073	 0,003654	 0,002532	 0,002624	 0,003493	 0,002351	 0,005766	 1,075396	 0,001254	 0,002098	 0,002031	 0,003029	 0,004110	 0,003609	 0,002897	 0,002627	 0,002271	 0,002401	 0,002317	 0,004756	 0,003174	 0,002640	 0,003608	 0,002611	 0,002372	 0,002743	 0,001801	 0,001894	 0,001642	 0,001724	 0,008660	 0,001844	 0,001808	 0,003347	 0,002606	 0,002871	 0,002848	 0,089756	 0,017945	 0,009666	 0,013602	 0,007350	 0,000970	 0,005241	 0,005635	 0,049477	 0,003867	 0,009597	 0,001134	 0,003677	 0,003217	 0,005034	 0,002717	 0,002528	 0,013372	 0,006261	 0,000000
Refino de petróleo e coquerias	 0,078125	 0,065149	 0,041431	 0,095431	 0,032038	 0,057550	 0,144723	 0,073103	 0,095957	 0,082779	 0,052948	 0,044097	 0,048724	 0,024252	 0,042521	 0,041178	 0,065328	 0,027279	 1,416792	 0,088071	 0,148964	 0,075866	 0,064927	 0,029494	 0,071632	 0,083348	 0,067690	 0,095053	 0,039989	 0,021556	 0,051200	 0,032389	 0,040183	 0,041758	 0,029651	 0,032396	 0,027281	 0,050087	 0,040049	 0,042168	 0,033496	 0,300415	 0,089109	 0,093720	 0,039863	 0,022127	 0,031200	 0,019822	 0,014592	 0,010808	 0,007635	 0,007889	 0,001807	 0,010571	 0,019637	 0,013642	 0,028643	 0,012241	 0,016274	 0,012709	 0,010027	 0,013053	 0,013348	 0,013038	 0,013287	 0,024484	 0,000000
Fabricação de biocombustíveis	 0,003187	 0,003211	 0,001580	 0,003807	 0,002494	 0,001928	 0,004725	 0,003815	 0,009610	 0,006994	 0,004597	 0,001775	 0,001979	 0,000958	 0,001708	 0,001635	 0,002520	 0,001310	 0,043150	 1,011200	 0,005956	 0,007214	 0,018158	 0,007144	 0,002780	 0,002987	 0,002416	 0,003306	 0,001689	 0,000845	 0,001904	 0,001315	 0,001533	 0,001582	 0,001145	 0,001286	 0,001149	 0,002204	 0,001557	 0,001765	 0,001352	 0,010080	 0,002872	 0,003003	 0,001613	 0,001112	 0,002379	 0,000822	 0,000641	 0,000486	 0,000311	 0,000331	 0,000080	 0,000427	 0,001106	 0,000660	 0,001007	 0,000636	 0,001255	 0,001291	 0,000813	 0,000593	 0,001007	 0,000870	 0,000645	 0,001300	 0,000000
